"Read Me - I Am Magical: Open Me and I Will Reveal 12 Secrets to Love, Happiness & Personal Power. as You Leaf Through Me See How Remarkable You Feel"	Alinka Rutkowska	3	7	1348178574s/9056815	9056815-read-me---i-am-magical

"Castelul fetei in alb (Cireí´ä‰åŒíÇarii, #2)"	Constantin Chiriíéíïéí´äóæí‰Œ	4.34	996	1303806135s/6680748	6680748-castelul-fetei-in-alb

"Princess of the Midnight Ball (Princess, #1)"	Jessica Day George	3.91	25290	1312063284s/3697927	3697927-princess-of-the-midnight-ball

"Livin' la Vida Boba: You Are Born, You Grow Up, You Try to Reproduce, You Get Cheated On, You Reproduce (With Another Partner), and You Die"	Lucano Divina	5	5	1458008999s/29509876	29509876-livin-la-vida-boba

"Bom dia, camaradas"	Ondjaki	3.74	175	1389457607s/20511904	20511904-bom-dia-camaradas

Absent In The Spring	Mary Westmacott	4.14	9396	1396225976s/140345	140345.Absent_In_The_Spring

"Touched (Touched, #1)"	Vicki Green	3.63	395	1398271286s/22005857	22005857-touched

"My Father's Parrot (Back to the Land, #1)"	Laurie Elmquist	5	2	1370298284s/11767984	11767984-my-father-s-parrot

The Ravenscar Dynasty	Barbara Taylor Bradford	3.58	1199	1176027060s/585134	585134.The_Ravenscar_Dynasty

Mating	Norman Rush	3.79	2967	1320393331s/527513	527513.Mating

"The Kurosagi Corpse Delivery Service, Volume 1"	Eiji Otsuka	3.89	1400	1403204213s/89646	89646.The_Kurosagi_Corpse_Delivery_Service_Volume_1

"The Templar Legacy (Cotton Malone, #1)"	Steve Berry	3.79	32929	1413393638s/75024	75024.The_Templar_Legacy

Sea Horses: Gathering Storm	Louise Cooper	3.98	54	1348192216s/1397538	1397538.Sea_Horses

"Stopping Time (Wicked Lovely, #2.5)"	Melissa Marr	3.96	1630	1271307387s/8042847	8042847-stopping-time

"Twin Hearts (The Lewis Legacy Series, #3)"	JoAnn Durgin	4.44	147	1340800518s/14581838	14581838-twin-hearts

"The Potato Factory (The Potato Factory, #1)"	Bryce Courtenay	4.05	6395	1172090911s/137808	137808.The_Potato_Factory

"Science of the Cosmos, Science of the Soul: The Pertinence of Islamic Cosmology in the Modern World"	William C. Chittick	4.32	62	1348273060s/315894	315894.Science_of_the_Cosmos_Science_of_the_Soul

"If You Deceive (MacCarrick Brothers, #3)"	Kresley Cole	4.18	8909	1357617850s/420780	420780.If_You_Deceive

The Way Things Work	David Macaulay	4.32	2012	1328309142s/304889	304889.The_Way_Things_Work

"Andy and the Alien (Sweet Valley Kids, #29)"	Francine Pascal	3.36	59	1266624439s/2195443	2195443.Andy_and_the_Alien

"The Breadwinner (The Breadwinner, #1)"	Deborah Ellis	3.92	11556	1422033249s/828015	828015.The_Breadwinner

"The Dwarves (The Dwarves, #1)"	Markus Heitz	3.92	5844	1327540979s/6657006	6657006-the-dwarves

"The Initiation / The Captive Part I (The Secret Circle, #1-2)"	L.J. Smith	3.96	19720	1341591862s/3099780	3099780-the-initiation-the-captive-part-i

"The Day of Reckoning (Star Wars: Jedi Apprentice, #8)"	Jude Watson	3.81	1487	1374774312s/320407	320407.The_Day_of_Reckoning

"Diana, Princess of Wales"	Veda Boyd Jones	3	2	1335659305s/632117	632117.Diana_Princess_of_Wales

Confess	Colleen Hoover	4.27	55066	1412280173s/22609310	22609310-confess

Please Ignore Vera Dietz	A.S. King	3.92	21230	1394240671s/6665671	6665671-please-ignore-vera-dietz

"Four to Score (Stephanie Plum, #4)"	Janet Evanovich	4.16	102181	1311983211s/6422	6422.Four_to_Score

Wasteland	Francesca Lia Block	3.88	3166	1166639453s/14563	14563.Wasteland

"Despatches from Old Trafford: A Red-eye View of United, 1993-96"	Richard Kurt	5	1	1329084609s/13482510	13482510-despatches-from-old-trafford

Lady Be Bad	Elaine Raco Chase	3.71	28	1337460146s/14059751	14059751-lady-be-bad

"1636: The Saxon Uprising (Assiti Shards, #11)"	Eric Flint	3.98	935	1388632869s/8721228	8721228-1636

"Quarter Share (Golden Age of the Solar Clipper, #1)"	Nathan Lowell	4.13	4297	1273808382s/2334538	2334538.Quarter_Share

"Comet in Moominland (The Moomins, #2)"	Tove Jansson	4.27	6194	1389287390s/1003725	1003725.Comet_in_Moominland

"Vegan: 23 Quick & Easy Recipes, Enjoy Delicious & Healthy Vegan Snacks"	Sef Hohenheim	5	11	1460174896s/29860539	29860539-vegan

