Lost Scene from Hallowed (Unearthly, #2.1)	Cynthia Hand	3.89	3286	1340851219s/15725700	15725700-lost-scene-from-hallowed	4
Edge of Dawn (Midnight Breed, #11)	Lara Adrian	4.24	9584	1341692275s/13170607	13170607-edge-of-dawn	313
Consequences (Consequences, #1)	Aleatha Romig	4	31616	1379332145s/13742045	13742045-consequences	572
Bender (The Core Four, #1)	Stacy Borel	4.15	12567	1398171747s/21971980	21971980-bender	315
The Worst Witch (Worst Witch, #1)	Jill Murphy	3.92	12064	1349047328s/351023	351023.The_Worst_Witch	107
Ruining You (Ruining, #2)	Nicole Reed	4.26	9624	1358614255s/16242085	16242085-ruining-you	215
Confessions of a Murder Suspect (Confessions, #1)	James Patterson	3.89	19395	1377041438s/13521399	13521399-confessions-of-a-murder-suspect	372
Sons of Destiny (Cirque Du Freak, #12)	Darren Shan	4.23	15241	1344270002s/8948	8948.Sons_of_Destiny	240
Forever Bound (Bound, #1-4)	Cynthia Eden	4.03	659	1343170824s/15768638	15768638-forever-bound	342
Tempt Me (One Night with Sole Regret, #2)	Olivia Cunning	3.91	12500	1341412210s/15735460	15735460-tempt-me	118
The Demigod Files	Rick Riordan	4.03	49945	1293421593s/3992598	3992598-the-demigod-files	151
The Ruins	Scott B. Smith	3.47	21528	1432679747s/21726	21726.The_Ruins	319
Bad Blood (Blood Coven Vampire, #4)	Mari Mancusi	4.06	3707	1265495219s/6574915	6574915-bad-blood	256
Amish Christmas Joy (Brides of Amish Country, #9)	Patricia Davids	4.23	127	1378065676s/18050794	18050794-amish-christmas-joy	224
Agent Zigzag: A True Story of Nazi Espionage, Love, and Betrayal	Ben Macintyre	4.03	6642	1320497271s/655627	655627.Agent_Zigzag	364
The Quest for Consciousness: A Neurobiological Approach	Christof Koch	4.03	306	1171898186s/125257	125257.The_Quest_for_Consciousness	429
The Broken Ear (Tintin, #6)	Herg̩	3.86	5653	1344271239s/1169556	1169556.The_Broken_Ear	62
Earthfall (Homecoming, #4)	Orson Scott Card	3.46	7599	1441471043s/31354	31354.Earthfall	370
Claimed (Dark Protectors, #2)	Rebecca Zanetti	4.22	5370	1301371750s/10255156	10255156-claimed	321
Trouble with Puppy Mills (Amish Forever: A New Journey, #4)	Crystal Linn	4.8	5	1388625758s/20414009	20414009-trouble-with-puppy-mills	19
The Talisman Ring	Georgette Heyer	3.94	4735	1388203991s/32108	32108.The_Talisman_Ring	268
Prince of Dreams (Val Cache, #2)	Susan Krinard	3.54	226	1333578775s/1103976	1103976.Prince_of_Dreams	432
Midnight Sun (Twilight, #1.5)	Stephenie Meyer	4.04	133640	0	4502877-midnight-sun	264
Hatter M, Volume 3: The Nature of Wonder	Frank Beddor	3.82	404	1390199347s/7035671	7035671-hatter-m-volume-3	208
The Innocent (Will Robie, #1)	David Baldacci	4.08	45475	1329854216s/12849385	12849385-the-innocent	422
Forging the Darksword (The Darksword Trilogy, #1)	Margaret Weis	3.6	7034	1303097780s/29118	29118.Forging_the_Darksword	391
How to Disappear: From Abusive Spouses, Bloodhounds, and the CIA	Derrick Jensen	0	0	0	7191422-how-to-disappear	112
Shakespeare's Christmas (Lily Bard, #3)	Charlaine Harris	3.86	11032	1345722531s/32513	32513.Shakespeare_s_Christmas	242
Black City (Black Wings, #5)	Christina Henry	4.13	1879	1352676120s/15710492	15710492-black-city	288
Goddess Interrupted (Goddess Test, #2)	Aimee Carter	4.04	24553	1397956745s/12637490	12637490-goddess-interrupted	305
Dreamer (Chronicles of Marithe, #1)	Patrick O'Scheen	4.49	45	1359666105s/17311105	17311105-dreamer	308
Missee Lee (Swallows and Amazons, #10)	Arthur Ransome	3.85	743	1389300207s/329736	329736.Missee_Lee	349
Inga kelgrisar, inga styvbarn	Cia Sigesg�_���_�_��_�_�__rd	3.76	34	1393492362s/20929463	20929463-inga-kelgrisar-inga-styvbarn	391
Collision Course (Titanic, #2)	Gordon Korman	3.98	1055	1328839274s/9641078	9641078-collision-course	176
Works of Love (Kierkegaard's Writings, Volume 16)	S�_���_�_��_�_��ren Kierkegaard	4.36	1095	1388373530s/83324	83324.Works_of_Love	576
The Secret Bride (In The Court of Henry VIII, #1)	Diane Haeger	3.78	3733	1442602677s/1340021	1340021.The_Secret_Bride	398
Beautiful Disaster (Beautiful, #1)	Jamie McGuire	4.17	386829	1354353281s/15749887	15749887-beautiful-disaster	416
At Home in Mitford (Mitford Years, #1)	Jan Karon	4.09	42130	1386924130s/71776	71776.At_Home_in_Mitford	413
My Liege of Dark Haven (Mountain Masters & Dark Haven, #3)	Cherise Sinclair	4.37	6889	1342635768s/15758438	15758438-my-liege-of-dark-haven	328
School, Drool, and Other Daily Disasters (Justin Case, #1)	Rachel Vail	3.9	902	1312059866s/7684993	7684993-school-drool-and-other-daily-disasters	256
Kaleb (Alluring Indulgence, #1)	Nicole Edwards	4.09	14810	1356482087s/17181891	17181891-kaleb	290
Of Plymouth Plantation, 1620-1647	William Bradford	3.42	934	1414350524s/380887	380887.Of_Plymouth_Plantation_1620_1647	416
Ritual in Death (In Death, #27.5)	J.D. Robb	4.25	8120	1388785173s/3273744	3273744-ritual-in-death	0
Crimes Against Magic (Hellequin Chronicles, #1)	Steve McHugh	4	5334	1334820051s/13608133	13608133-crimes-against-magic	388
R-T, Margaret, and the Rats of NIMH	Jane Leslie Conly	3.49	517	1389230184s/24704	24704.R_T_Margaret_and_the_Rats_of_NIMH	272
Death Dance (Alexandra Cooper, #8)	Linda Fairstein	3.82	2882	1388467281s/246273	246273.Death_Dance	512
Companions (Laws of the Blood, #3)	Susan Sizemore	3.67	260	1388351045s/1017301	1017301.Companions	272
Plague World (Ashley Parker, #3)	Dana Fredsti	3.93	252	1403538518s/18248513	18248513-plague-world	320
Immortal Matchmakers, Inc. (Immortal Matchmakers, Inc. #1)	Mimi Jean Pamfiloff	4.17	676	1442965778s/26146630	26146630-immortal-matchmakers-inc	306
The Leopard Stratagem (Leopard King Saga, #2)	T.A. Uner	4.52	54	1400949611s/20993087	20993087-the-leopard-stratagem	430
Millie's Reluctant Sacrifice (A Life of Faith: Millie Keith #7)	Martha Finley	4.2	305	1183518024s/1429580	1429580.Millie_s_Reluctant_Sacrifice	201
Blue Exorcist, Vol. 6	Kazue Kato	4.42	3261	1327953650s/12309315	12309315-blue-exorcist-vol-6	200
Splendor (Sacred, #2)	Elana K. Arnold	3.66	142	1361863977s/17168027	17168027-splendor	352
Once Bitten, Twice Shy (Jaz Parks, #1)	Jennifer Rardin	3.71	10020	1438906426s/937122	937122.Once_Bitten_Twice_Shy	308
Heaven and Hell (North and South, #3)	John Jakes	4.01	8493	1390174642s/64279	64279.Heaven_and_Hell	800
The Vendetta Defense (Rosato & Associates, #6)	Lisa Scottoline	4.01	5577	1410137889s/84829	84829.The_Vendetta_Defense	528
C791 (Cyborgs: More Than Machines, #1)	Eve Langlais	3.75	2870	1439732844s/13458280	13458280-c791	161
Scouting Jasmine (Jaz Parks, #0.5)	Jennifer Rardin	3.98	698	1300744706s/10565237	10565237-scouting-jasmine	30
Melting the Ice (Play by Play, #7)	Jaci Burton	4.02	6243	1371668633s/17338293	17338293-melting-the-ice	255
Topping from Below	Laura Reese	3.4	1379	1312050000s/1403416	1403416.Topping_from_Below	384
Agamemnon (Oresteia, #1)	Aeschylus	3.83	10530	1347406392s/1524	1524.Agamemnon	144
Strong at the Break (Caitlin Strong, #3)	Jon Land	3.92	148	1312076897s/9944207	9944207-strong-at-the-break	348
A Hope in the Unseen: An American Odyssey from the Inner City to the Ivy League	Ron Suskind	3.91	3265	1388245949s/69559	69559.A_Hope_in_the_Unseen	373
Capital	Karl Marx	3.81	4859	1348388426s/3316337	3316337-capital	490
Mrs. Jeffries Stands Corrected (Mrs. Jeffries, #9)	Emily Brightwell	4.02	269	1315083558s/1824219	1824219.Mrs_Jeffries_Stands_Corrected	215
Hidden History: An Expos̩ of Modern Crimes, Conspiracies, and Cover-Ups in American Politics	Donald Jeffries	3.79	33	1395145642s/20344467	20344467-hidden-history	384
