title	author	avg_rating	ratings	img	url
Middlesex	Jeffrey Eugenides	3.96	464476	1437029776s/2187	2187.Middlesex
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	4.4	463929	1298415523s/15241	15241.The_Two_Towers
The Old Man and the Sea	Ernest Hemingway	3.69	463249	1329189714s/2165	2165.The_Old_Man_and_the_Sea
One Flew Over the Cuckoo's Nest	Ken Kesey	4.18	462788	1322231182s/853494	853494.One_Flew_Over_the_Cuckoo_s_Nest
Outlander (Outlander, #1)	Diana Gabaldon	4.18	461339	1402600310s/10964	10964.Outlander
The Annotated Lolita	Vladimir Nabokov	3.87	460111	1382256115s/70989	70989.The_Annotated_Lolita
Lolita	Vladimir Nabokov	3.87	460111	1377756377s/7604	7604.Lolita
Matched (Matched, #1)	Ally Condie	3.69	460105	1367706191s/7735333	7735333-matched
Charlie and the Chocolate Factory (Charlie Bucket, #1)	Roald Dahl	4.1	458722	1309211401s/6310	6310.Charlie_and_the_Chocolate_Factory
Dune (Dune Chronicles, #1)	Frank Herbert	4.17	456818	1434908555s/234225	234225.Dune
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.54	453854	1420979112s/62291	62291.A_Storm_of_Swords
Tormenta de espadas (CanciÃƒÂ³n de Hielo y Fuego, #3)	George R.R. Martin	4.54	453854	1372814876s/18158582	18158582-tormenta-de-espadas
Tormenta de espadas	George R.R. Martin	4.54	453854	1353796482s/16168894	16168894-tormenta-de-espadas
BouÃ…â„¢e meÃ„ÂÃ…Â¯ (PÃƒÂ­seÃ…Ë† ledu a ohnÃ„â€º, #3)	George R.R. Martin	4.54	453854	1349518356s/13086379	13086379-bou-e-me
The Firm	John Grisham	3.96	449545	1418465200s/5358	5358.The_Firm
Emma	Jane Austen	3.98	449450	1441982354s/24611702	24611702-emma
The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	4.49	448600	1306539821s/727810	727810.The_Return_of_the_King
Room	Emma Donoghue	3.99	448238	1327543111s/7989155	7989155-room
Room	Emma Donoghue	3.99	448237	1344265419s/7937843	7937843-room
Thirteen Reasons Why	Jay Asher	4.05	448044	1333822506s/1217100	1217100.Thirteen_Reasons_Why
Great Expectations	Charles Dickens	3.73	445883	1309639398s/2619	2619.Great_Expectations
Divine Secrets of the Ya-Ya Sisterhood	Rebecca Wells	3.77	443184	1408313524s/137791	137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
The Five People You Meet in Heaven	Mitch Albom	3.89	439305	1388200541s/3431	3431.The_Five_People_You_Meet_in_Heaven
Green Eggs and Ham	Dr. Seuss	4.29	437312	1327875972s/23772	23772.Green_Eggs_and_Ham
